date,open,high,low,close,volume,amount,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,preClose,suspendFlag
1991-01-06,65.74,65.74,65.74,65.74,0,0.0,0.631,0.631,0.631,0.631,65.74,65.74,65.74,65.74,65.74,1
1991-01-07,65.74,65.74,65.74,65.74,0,0.0,0.631,0.631,0.631,0.631,65.74,65.74,65.74,65.74,65.74,1
1991-01-08,65.74,65.74,65.74,65.74,0,0.0,0.631,0.631,0.631,0.631,65.74,65.74,65.74,65.74,65.74,1
1991-01-09,65.74,65.74,65.74,65.74,0,0.0,0.631,0.631,0.631,0.631,65.74,65.74,65.74,65.74,65.74,1
1991-01-10,65.74,65.74,65.74,65.74,0,0.0,0.631,0.631,0.631,0.631,65.74,65.74,65.74,65.74,65.74,1
1991-01-13,64.77,64.77,64.77,64.77,0,0.0,0.621,0.621,0.621,0.621,64.77,64.77,64.77,64.77,64.77,1
1991-01-14,64.77,64.77,64.77,64.77,0,0.0,0.621,0.621,0.621,0.621,64.77,64.77,64.77,64.77,64.77,1
1991-01-15,64.77,64.77,64.77,64.77,0,0.0,0.621,0.621,0.621,0.621,64.77,64.77,64.77,64.77,64.77,1
1991-01-16,64.77,64.77,64.77,64.77,0,0.0,0.621,0.621,0.621,0.621,64.77,64.77,64.77,64.77,64.77,1
1991-01-17,64.77,64.77,64.77,64.77,0,0.0,0.621,0.621,0.621,0.621,64.77,64.77,64.77,64.77,64.77,1
1991-01-20,62.85,62.85,62.85,62.85,0,0.0,0.603,0.603,0.603,0.603,62.85,62.85,62.85,62.85,62.85,1
1991-01-21,62.85,62.85,62.85,62.85,0,0.0,0.603,0.603,0.603,0.603,62.85,62.85,62.85,62.85,62.85,1
1991-01-22,62.85,62.85,62.85,62.85,0,0.0,0.603,0.603,0.603,0.603,62.85,62.85,62.85,62.85,62.85,1
1991-01-23,62.85,62.85,62.85,62.85,0,0.0,0.603,0.603,0.603,0.603,62.85,62.85,62.85,62.85,62.85,1
1991-01-24,62.85,62.85,62.85,62.85,0,0.0,0.603,0.603,0.603,0.603,62.85,62.85,62.85,62.85,62.85,1
1991-01-27,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-01-28,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-01-29,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-01-30,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-01-31,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-02-03,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-02-04,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-02-05,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-02-06,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-02-07,60.99,60.99,60.99,60.99,0,0.0,0.585,0.585,0.585,0.585,60.99,60.99,60.99,60.99,60.99,1
1991-02-10,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-11,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-12,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-13,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-18,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-19,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-20,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-21,62.84,62.84,62.84,62.84,0,0.0,0.603,0.603,0.603,0.603,62.84,62.84,62.84,62.84,62.84,1
1991-02-24,64.43,64.43,64.43,64.43,0,0.0,0.618,0.618,0.618,0.618,64.43,64.43,64.43,64.43,64.43,1
1991-02-25,64.43,64.43,64.43,64.43,0,0.0,0.618,0.618,0.618,0.618,64.43,64.43,64.43,64.43,64.43,1
1991-02-26,64.43,64.43,64.43,64.43,0,0.0,0.618,0.618,0.618,0.618,64.43,64.43,64.43,64.43,64.43,1
1991-02-27,64.43,64.43,64.43,64.43,0,0.0,0.618,0.618,0.618,0.618,64.43,64.43,64.43,64.43,64.43,1
1991-02-28,64.43,64.43,64.43,64.43,0,0.0,0.618,0.618,0.618,0.618,64.43,64.43,64.43,64.43,64.43,1
1991-03-03,64.42,64.42,64.42,64.42,0,0.0,0.618,0.618,0.618,0.618,64.42,64.42,64.42,64.42,64.42,1
1991-03-04,64.42,64.42,64.42,64.42,0,0.0,0.618,0.618,0.618,0.618,64.42,64.42,64.42,64.42,64.42,1
1991-03-05,64.42,64.42,64.42,64.42,0,0.0,0.618,0.618,0.618,0.618,64.42,64.42,64.42,64.42,64.42,1
1991-03-06,64.42,64.42,64.42,64.42,0,0.0,0.618,0.618,0.618,0.618,64.42,64.42,64.42,64.42,64.42,1
1991-03-07,64.42,64.42,64.42,64.42,0,0.0,0.618,0.618,0.618,0.618,64.42,64.42,64.42,64.42,64.42,1
1991-03-10,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-11,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-12,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-13,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-14,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-17,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-18,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-19,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-20,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-21,62.11,62.11,62.11,62.11,0,0.0,0.596,0.596,0.596,0.596,62.11,62.11,62.11,62.11,62.11,1
1991-03-24,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-03-25,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-03-26,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-03-27,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-03-28,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-03-31,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-04-01,61.49,61.49,61.49,61.49,0,0.0,0.59,0.59,0.59,0.59,61.49,61.49,61.49,61.49,61.49,1
1991-04-02,49.0,49.0,49.0,49.0,1,4900.0,0.47,0.47,0.47,0.47,49.0,49.0,49.0,49.0,61.49,0
